"Familia";"Nome_Cientifico";"Categoria";"Cod.";"Fonte";"Lista";"Dispositivo_Legal"
"ACANTHACEAE";"Dyschoriste lavandulacea";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Justicia clausseniana";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Justicia paranaensis";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Justicia polita";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Justicia ramulosa";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Staurogyne brachiata";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Staurogyne veronicifolia";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ACANTHACEAE";"Streblacanthus dubiosus";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ALISMATACEAE";"Sagittaria lancifolia";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ALSTROEMERIACEAE";"Alstroemeria brasiliensis";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ALSTROEMERIACEAE";"Alstroemeria malmeana";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ALSTROEMERIACEAE";"Alstroemeria orchidioides";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARANTHACEAE";"Froelichiella grisea";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARANTHACEAE";"Gomphrena centrota";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
