"nome_cientifico";"status_conservacao";"fonte";"lista";"dispositivo_legal"
"Dichanthelium cabrerae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Peixotoa megalantha";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Peltogyne chrysopis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pseudabutilon pintoi";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Schultesia piresiana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Apostolepis arenarius";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mitracarpus rigidifolius";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hohenbergia correia-araujoi";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Kielmeyera itacarensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriope confusa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Turnera caatingana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Auris melanostoma";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Conchocarpus racemosus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eugenia itacarensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stigmaphyllon hispidum";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Flaematopus palliatus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bactris soeiroana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stachytarpheta froesii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista catolesensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stylotrichium sucrei";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stylotrichium glomeratum";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Laniisoma elegans";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oxysternon (Pteroxysternon) pteroderum";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Parianella lanceolata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stenophalium eriodes";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anthurium talmonii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cryptanthus ruthiae";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia pendula";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Alexandresaurus camacan";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia spiciformis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pseudobombax calcicola";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Diplopterys bahiana";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriope montana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Algernonia bahiensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea andersoniana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hohenbergia brachycephala";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Plinia rara";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lasiolaena morii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Fulcaldea stuessyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bunchosia itacarensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mimosa mensicola";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mycia trimera";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Curarea crassa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lapidia apicifolia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anthurium zappiae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Thamnodynastes almae";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Colobosauroides carvalhoi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tibouchina luetzelburgii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dasyphyllum diamantinense";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Plinia spiciflora";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anotosaura collaris";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Erythroxylum compressum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia pinheiroi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hypolytrum jardimii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris amorimii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lychnophora harleyi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Habeas data";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stachytarpheta ganevii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Spigelia cremnophila";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hornschuchia santosii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia luetzelburgii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vitreorana eurygnatha";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Evolvulus harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Phasmahyla timbo";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia lychnophoroides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vellozia jolyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Sauvagesia paniculata";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lasiolaena carvalhoi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia leucopetala";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia tetraphylla";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neoregelia azevedoi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Miconia johnwurdackiana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Plinia muricata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Agaricia humilis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Piriqueta douradinha";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hoehnephytum almasense";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia grandiflora";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia tetraloba";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ichnanthus robustus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Herpetacanthus strongyloides";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Alvimia gracilis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Varronia mayoi";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tillandsia milagrensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Leposoma sinepollex";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum albopictum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriope monticola";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Goeppertia orbifolia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lymania azurea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Handroanthus parviflorus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Turnera involucrata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Genlisea exhibitionista";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lepidaploa bahiana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Echinanthera cephalostriata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia spectabilis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oocephalus nubicola";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Parapiptadenia ilheusana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Olyra filiformis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lavoisiera harleyi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stachytarpheta glandulosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Acritopappus teixeirae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Raddia stolonifera";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lippia magentea";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Olyra latispicula";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mussismilia hartii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gomesa gutfreundiana";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia mucugensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bishopiella elegans";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Kielmeyera reticulata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Renvoizea restingae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neomarica portosecurensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea weberi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum amoenum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Agrianthus giuliettiae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dorstenia contensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Macrocarpaea illecebrosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Strychnos alvimiana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Begonia russelliana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cattleya grandis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stylotrichium corymbosum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Serjania bahiana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pachycondyla holmgreni";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia calyptranthoides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eremitis parviflora";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Canistrum guzmanioides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hohenbergia pennae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bulbophyllum teimosense";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Piptadenia santosii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichorisandra hirtella";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Micranthocereus flaviflorus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chresta hatschbachii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Canavalia dolichothyrsa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hornschuchia obliqua";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lepidaploa almasensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Siphlophis pulcher";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Uromacerina ricardinii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dioscorea macrothyrsa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Philcoxia bahiensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista amorimii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia viscida";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Espostoopsis dybowskii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichorisandra conglomerata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Sauvagesia insignis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pouteria confusa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia pseudomarlierea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aristolochia longispathulata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Heteropterys andersonii";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Paralychnophora patriciana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Picramnia coccinea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Spirotheca elegans";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gurania neei";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Porophyllum bahiense";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pilosocereus glaucochrous";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Prepusa montana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ilex auricula";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Habeas priscus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cyclodontina tapuia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lasiolaena lychnophorioides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pseuderanthemum albiflorum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia eimeariana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Paepalanthus carvalhoi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Trimezia caulosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eremanthus leucodendron";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eugenia lacistema";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia gigantea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Begonia umbraculifera";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Goeppertia rufibarba";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichorisandra jardimii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Standleya glomerulata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia grazielae";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Griffinia parviflora";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Herpetacanthus tetrandrus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oxalis alvimii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xiphopenaeus kroyeri";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista arboae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Melocactus glaucescens";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anthurium bromelicola subsp. bahiense";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Morithamnus crassus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pachira moreirae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Semiria viscosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Evolvulus gnaphalioides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anthurium ensifolium";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cyclopogon eldorado";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia stigmatosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ouratea rotundifolia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia flavovirens";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia serrana";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea glandulosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chromolaena alvimii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
