"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Lycalopex vetulus (Lund, 1842)","126593","Lycalopex vetulus","Canidae","Animalia","Raposa-do-campo","VU","Vulnerável"
"Crypturellus noctivagus (Wied, 1820)","139594","Crypturellus noctivagus","Tinamidae","Animalia","Jaô-do-sul","VU","Vulnerável"
"Anochetus hohenbergiae Feitosa & Delabie, 2012","167367","Anochetus hohenbergiae","Formicidae","Animalia","Formiga","EN","Em Perigo"
"Dichanthelium cabrerae (Zuloaga & Morrone) Zuloaga","294890","Dichanthelium cabrerae","Poaceae",,"Dichanthelium cabrerae","EN","Em Perigo"
"Peixotoa megalantha C.E.Anderson","292276","Peixotoa megalantha","Malpighiaceae",,"Peixotoa megalantha","CR","Criticamente em Perigo"
"Peltogyne chrysopis Barneby","280477","Peltogyne chrysopis","Fabaceae",,"Peltogyne chrysopis","VU","Vulnerável"
"Carcharhinus porosus (Ranzani, 1839)","128532","Carcharhinus porosus","Carcharhinidae","Animalia","Cação-azeiteiro","VU","Vulnerável"
"Pseudabutilon pintoi Mont.","336850","Pseudabutilon pintoi","Malvaceae",,"Pseudabutilon pintoi","CR","Criticamente em Perigo"
"Schultesia piresiana E.F.Guim. & Fontella","320187","Schultesia piresiana","Gentianaceae",,"Schultesia piresiana","EN","Em Perigo"
"Apostolepis arenaria Rodrigues, 1992","180905","Apostolepis arenarius","Dipsadidae",,,"EN","Em Perigo"
"Mitracarpus rigidifolius Standl.","296175","Mitracarpus rigidifolius","Rubiaceae",,"Mitracarpus rigidifolius","VU","Vulnerável"
"Hohenbergia correia-araujoi E.Pereira & Moutinho","327773","Hohenbergia correia-araujoi","Bromeliaceae",,"Hohenbergia correia-araujoi","CR","Criticamente em Perigo"
"Kielmeyera itacarensis Saddi","329999","Kielmeyera itacarensis","Calophyllaceae",,"Kielmeyera itacarensis","EN","Em Perigo"
"Eriope confusa Harley","289951","Eriope confusa","Lamiaceae",,"Eriope confusa","EN","Em Perigo"
"Turnera caatingana Arbo","297403","Turnera caatingana","Turneraceae",,"Turnera caatingana","EN","Em Perigo"
"Thalassarche melanophris (Temminck, 1828)","211183","Thalassarche melanophris","Diomedeidae","Animalia","Albatroz-de-sobrancelha","VU","Vulnerável"
"Auris melanostoma (Moricand, 1836)","120182","Auris melanostoma","Bulimulidae",,,"VU","Vulnerável"
"Conchocarpus racemosus (Nees & Mart.) Kallunki & Pirani","280357","Conchocarpus racemosus","Rutaceae",,"Conchocarpus racemosus","VU","Vulnerável"
"Eugenia itacarensis Mattos","340416","Eugenia itacarensis","Myrtaceae",,"Eugenia itacarensis","EN","Em Perigo"
"Stigmaphyllon hispidum C.E.Anderson","336157","Stigmaphyllon hispidum","Malpighiaceae",,"Stigmaphyllon hispidum","CR","Criticamente em Perigo"
"Flaematopus palliatus Temminck, 1820",,"Flaematopus palliatus",,,"Piru-piru","VU","Vulnerável"
"Bactris soeiroana Noblick ex A.J.Hend.","284383","Bactris soeiroana","Arecaceae",,"Bactris soeiroana","EN","Em Perigo"
"Urubitinga coronata (Vieillot, 1817)","146227","Urubitinga coronata","Accipitridae","Animalia","Águia-cinzenta","CR","Criticamente em Perigo"
"Puma yagouaroundi (Geoffory Saint-Hilaire, 1803)","131599","Puma yagouaroundi","Felidae","Animalia",,"VU","Vulnerável"
"Stachytarpheta froesii Moldenke","297752","Stachytarpheta froesii","Verbenaceae",,"Stachytarpheta froesii","EN","Em Perigo"
"Phaethornis margarettae Ruschi, 1972","241250","Phaethornis margarettae","Trochilidae","Animalia","Rabo-branco-de-margarette","EN","Em Perigo"
"Chamaecrista catolesensis Conc. et al.","314439","Chamaecrista catolesensis","Fabaceae",,"Chamaecrista catolesensis","VU","Vulnerável"
"Callistomys pictus (Pictet, 1843)","246659","Callistomys pictus","Echimyidae",,,"EN","Em Perigo"
"Stylotrichium sucrei R.M.King & H.Rob.","285886","Stylotrichium sucrei","Asteraceae",,"Stylotrichium sucrei","EN","Em Perigo"
"Stylotrichium glomeratum Bautista et al.","285881","Stylotrichium glomeratum","Asteraceae",,"Stylotrichium glomeratum","CR","Criticamente em Perigo"
"Laniisoma elegans (Thunberg, 1823)","234647","Laniisoma elegans","Tityridae",,"Chibante","EN","Em Perigo"
"Oxysternon pteroderum Nevison, 1892","161303","Oxysternon (Pteroxysternon) pteroderum","Scarabaeidae",,,"VU","Vulnerável"
"Rhincodon typus Smith, 1828","244549","Rhincodon typus","Rhincodontidae","Animalia","Tubarão-baleia","VU","Vulnerável"
"Parianella lanceolata (Trin.) Hollowell, F.M. Ferreira & R.P. Oliveira","334806","Parianella lanceolata","Poaceae",,"Parianella lanceolata","EN","Em Perigo"
"Stenophalium eriodes (Mattf.) Anderb.","331453","Stenophalium eriodes","Asteraceae",,"Stenophalium eriodes","VU","Vulnerável"
"Anthurium talmonii Mayo & Haigh","307851","Anthurium talmonii","Araceae",,"Anthurium talmonii","EN","Em Perigo"
"Melipona (Michmelia) scutellaris Latreille, 1811",,,,"Animalia","Uruçu","VU","Vulnerável"
"Cryptanthus ruthiae Philcox","327550","Cryptanthus ruthiae","Bromeliaceae",,"Cryptanthus ruthiae","VU","Vulnerável"
"Myrcia pendula Sobral","292268","Myrcia pendula","Myrtaceae",,"Myrcia pendula","EN","Em Perigo"
"Alexandresaurus camacan Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argôlo& Sites Jr, 2007","273111","Alexandresaurus camacan","Gymnophthalmidae",,,"VU","Vulnerável"
"Dynastes hercules paschoali Grossi & Arnaud, 1991","211027","Dynastes hercules paschoali","Melolonthidae","Animalia","Besouro-de-chifre","VU","Vulnerável"
"Pavonia spiciformis Krapov.","336798","Pavonia spiciformis","Malvaceae",,"Pavonia spiciformis","EN","Em Perigo"
"Pseudobombax calcicola Carv.-Sobr. & L.P.Queiroz","383752","Pseudobombax calcicola","Malvaceae",,"Pseudobombax calcicola","CR","Criticamente em Perigo"
"Geositta poeciloptera (Wied, 1830)","261771","Geositta poeciloptera","Scleruridae","Animalia","Andarilho","EN","Em Perigo"
"Carcharhinus obscurus (Lesueur, 1818)","222952","Carcharhinus obscurus","Carcharhinidae","Animalia","Cação-fidalgo","VU","Vulnerável"
"Avicularia diversipes (C.L. Koch) 1842","137466","Avicularia diversipes","Theraphosidae","Animalia","Caranguejeira","EN","Em Perigo"
"Diplopterys bahiana W.R.Anderson & C.C.Davis","327141","Diplopterys bahiana","Malpighiaceae",,"Diplopterys bahiana","CR","Criticamente em Perigo"
"Eriope montana Harley","289972","Eriope montana","Lamiaceae",,"Eriope montana","VU","Vulnerável"
"Algernonia bahiensis (Emmerich) G.L.Webster","357620","Algernonia bahiensis","Euphorbiaceae",,"Algernonia bahiensis","VU","Vulnerável"
"Lytechinus variegatus (Lamarck, 1816)","267420","Lytechinus variegatus","Toxopneustidae","Animalia","Ouriço-lilás","VU","Vulnerável"
"Platyrinchus leucoryphus Wied, 1831","115257","Platyrinchus leucoryphus","Platyrinchidae","Animalia","Patinho-gigante","EN","Em Perigo"
"Aechmea andersoniana Leme & H.Luther","326685","Aechmea andersoniana","Bromeliaceae",,"Aechmea andersoniana","EN","Em Perigo"
"Hohenbergia brachycephala L.B.Sm.","327758","Hohenbergia brachycephala","Bromeliaceae",,"Hohenbergia brachycephala","CR","Criticamente em Perigo"
"Plinia rara Sobral","341714","Plinia rara","Myrtaceae",,"Plinia rara","EN","Em Perigo"
"Lasiolaena morii R.M.King & H.Rob.","285375","Lasiolaena morii","Asteraceae",,"Lasiolaena morii","EN","Em Perigo"
"Fulcaldea stuessyi Roque & V.A. Funk","385633","Fulcaldea stuessyi","Asteraceae",,"Fulcaldea stuessyi","VU","Vulnerável"
"Bunchosia itacarensis W.R.Anderson","335748","Bunchosia itacarensis","Malpighiaceae",,"Bunchosia itacarensis","CR","Criticamente em Perigo"
"Mimosa mensicola Barneby","291200","Mimosa mensicola","Fabaceae",,"Mimosa mensicola","EN","Em Perigo"
"Mussismilia braziliensis (Verrill, 1868)","125293","Mussismilia braziliensis","Mussidae",,"Coral-cérebro-da-Bahia","VU","Vulnerável"
"Mycia trimera E.Lucas & Sobral",,,,,,"EN","Em Perigo"
"Curarea crassa Barneby","339336","Curarea crassa","Menispermaceae",,"Curarea crassa","VU","Vulnerável"
"Rodriguesophis scriptorcibatus (Rodrigues, 1993)","116811","Rodriguesophis scriptorcibatus","Dipsadidae",,,"EN","Em Perigo"
"Lapidia apicifolia Roque & S.C. Ferreira","359281","Lapidia apicifolia","Asteraceae",,"Lapidia apicifolia","VU","Vulnerável"
"Anthurium zappiae Haigh, Nadruz & Mayo","332294","Anthurium zappiae","Araceae",,"Anthurium zappiae","EN","Em Perigo"
"Thamnodynastes almae Franco & Ferreira, 2003","243695","Thamnodynastes almae","Dipsadidae",,,"VU","Vulnerável"
