"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Oncidium schwambachii V. P. Castro & Toscano","393918","Oncidium schwambachii","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Pleurothallis lingua Lindl.","364338","Pleurothallis lingua","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Gongylanthus liebmannianus (Lindenb. & Gott.) Steph.","363431","Gongylanthus liebmannianus","Arnelliaceae",,"Arnelliaceae","V","Vulnerável"
"Bulbostylis nesiotis (Hemsl.) C. B. Clarke","355442","Bulbostylis nesiotis","Cyperaceae",,"Cyperaceae","CR","CriticamEm Perigote em Perigo"
"Genipa infundibuliformis Zappi & Semir","279398","Genipa infundibuliformis","Rubiaceae",,"Rubiaceae","V","Vulnerável"
"Nothochilus  coccineus Radlk.","346449","Nothochilus coccineus","Orobanchaceae",,"Orobanchaceae","CR","CriticamEm Perigote em Perigo"
"Cissus paucinervia Lombardi","283206","Cissus paucinervia","Vitaceae",,"Vitaceae","V","Vulnerável"
"Monotagma plurispicatum (Körn.) K. Schum.","337358","Monotagma plurispicatum","Marantaceae",,"Marantaceae","V","Vulnerável"
"Billbergia lymanii E. Pereira & Leme","327246","Billbergia lymanii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Metzgeria suaneura  Schissn.",,,,,,"V","Vulnerável"
"Anathallis  kautskyi (Pabst) Pridgeon & M. W. Chase","342495","Anathallis kautskyi","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Couepia belemii Prance","286931","Couepia belemii","Chrysobalanaceae",,"Chrysobalanaceae","EN","Em Perigo"
"Vriesea neoglutinosa Mez","329016","Vriesea neoglutinosa","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Utricularia foliosa L.","335027","Utricularia foliosa","Lentibulariaceae",,"Lentibulariaceae","V","Vulnerável"
"Melocactus violaceus Pfeiff.","367957","Melocactus violaceus","Cactaceae",,"Cactaceae","V","Vulnerável"
"Humiriastrum spiritusancti Cuatrec.","333351","Humiriastrum spiritu-sancti","Humiriaceae",,"Humiriaceae","V","Vulnerável"
"Asplenium praemorsum","298625","Asplenium praemorsum","Aspleniaceae",,"Aspleniaceae","V","Vulnerável"
"Anthurium coriaceum (Grah.) G. Don","324219","Anthurium coriaceum","Araceae",,"Araceae","V","Vulnerável"
"Nidularium serratum Leme","328286","Nidularium serratum","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Miconia octopetala Cogn.","338457","Miconia octopetala","Melastomataceae",,"Melastomataceae","V","Vulnerável"
"Vochysia riedeliana Stafleu","283379","Vochysia riedeliana","Vochysiaceae",,"Vochysiaceae","V","Vulnerável"
"Epidendrum chlorinum Barb. Rodr.","343763","Epidendrum chlorinum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Miconia amoena Triana","338254","Miconia amoena","Melastomataceae",,"Melastomataceae","V","Vulnerável"
"Anthurium longifolium (Hoffmanns.) G. Don","324285","Anthurium longifolium","Araceae",,"Araceae","EN","Em Perigo"
"Billbergia lietzei E. Morren","327244","Billbergia lietzei","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Nematanthus lanceolatus (Poir.) Chautems","332987","Nematanthus lanceolatus","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Anathallis  montipelladensis (Hoehne) F. Barros","342524","Anathallis montipelladensis","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Dungsia kautskyi (Pabst) Chiron & V. P. Castro","343636","Dungsia kautskyi","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Piper casteloense Yunck.","275227","Piper casteloense","Piperaceae",,"Piperaceae","CR","CriticamEm Perigote em Perigo"
"Polypodium monoides Weath.","349272","Polypodium monoides","Polypodiaceae",,"Polypodiaceae","EN","Em Perigo"
"Anthurium xanthophylloides G. M. Barroso","324388","Anthurium xanthophylloides","Araceae",,"Araceae","V","Vulnerável"
"Piper alnoides Kunth","275159","Piper alnoides","Piperaceae",,"Piperaceae","V","Vulnerável"
"Vriesea plurifolia Leme","329078","Vriesea plurifolia","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Codonanthe gracilis (Mart.) Hanst.","332890","Codonanthe gracilis","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Bactris pickelii Burret","284375","Bactris pickelii","Arecaceae",,"Arecaceae","V","Vulnerável"
"Dolichoura spiritusanctensis Brade","337632","Dolichoura spiritusanctensis","Melastomataceae",,"Melastomataceae","EN","Em Perigo"
"Huperzia mollicoma (Spring) Holub","348312","Huperzia mollicoma","Lycopodiaceae",,"Lycopodiaceae","V","Vulnerável"
"Herpetacanthus longiflorus Nees  ","283436","Herpetacanthus longiflorus","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Hoffmannseggella  munchowiana  (F. E. L. Miranda) Chiron & V. P. Castro","344437","Hoffmannseggella munchowiana","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Zollernia modesta A. M. Carvalho & Barneby  ","291649","Zollernia modesta","Fabaceae",,"Fabaceae","V","Vulnerável"
"Epidendrum cristatum Ruiz & Pav.  ","343776","Epidendrum cristatum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Hiraea bullata W. R. Anderson","336014","Hiraea bullata","Malpighiaceae",,"Malpighiaceae","CR","CriticamEm Perigote em Perigo"
"Sobralia liliastrum Lindl.","345834","Sobralia liliastrum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Metzgeria psilocraspeda  Schissn.","365484","Metzgeria psilocraspeda","Metzgeriaceae",,"Metzgeriaceae","V","Vulnerável"
"Ocotea confertiflora (Meisn.) Mez  ","334685","Ocotea confertiflora","Lauraceae",,"Lauraceae","V","Vulnerável"
"Capparis  nectaria Vell.",,,,,,"V","Vulnerável"
"Tibouchina castellensis Brade","338910","Tibouchina castellensis","Melastomataceae",,"Melastomataceae","CR","CriticamEm Perigote em Perigo"
