"Supplied Name","guid","scientificName","family","kingdom","status","sourceStatus","year","family"
"Oxymycterus quaestorThomas, 1903",,,,,"NE","Não Avaliado","2010",
"Kannabateomys amblyonyx(Wagner, 1845)","215546","Kannabateomys amblyonyx","Echimyidae",,"DD","Dados Insuficientes","2010","Echimyidae"
"Sylvilagus brasiliensis(Linnaeus, 1758)","167672","Sylvilagus brasiliensis","Leporidae",,"VU","Vulnerável","2010","Leporidae"
"Artibeus fimbriatus Gray, 1838",,"Artibeus fimbriatus",,,"LC","Pouco Preocupante","2010",
"Kogia sima(Owen, 1866)","193127","Kogia sima","Kogiidae",,"DD#","Dados Insuficientes","2010","Kogiidae"
"Gracilinanus microtarsus(Wagner, 1842)","178735","Gracilinanus microtarsus","Didelphidae",,"LC","Pouco Preocupante","2010","Didelphidae"
"Delphinus delphis( Linnaeus, 1758)","142265","Delphinus delphis","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Oecomys catherinaeThomas, 1909",,,,,"NE","Não Avaliado","2010",
"Pecari tajacu(Linnaeus, 1758)","130576","Pecari tajacu","Tayassuidae",,"VU","Vulnerável","2010","Tayassuidae"
"Micoureus paraguayanus (Tate, 1931)",,"Micoureus paraguayanus",,,"LC","Pouco Preocupante","2010",
"Noctilio leporinus(Linnaeus, 1758)","270765","Noctilio leporinus","Noctilionidae",,"VU","Vulnerável","2010","Noctilionidae"
"Delomys sublineatus(Thomas, 1903)","188570","Delomys sublineatus","Cricetidae",,"DD","Dados Insuficientes","2010","Cricetidae"
"Cynomops abrasus(Temminck, 1827)","145449","Cynomops abrasus","Molossidae",,"VU","Vulnerável","2010","Molossidae"
"Delomys dorsalis(Hensel, 1873)","189002","Delomys dorsalis","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Akodon serrensisThomas, 1902",,,,,"DD","Dados Insuficientes","2010",
"Phyllostomus discolorWagner, 1843",,,,,"DD","Dados Insuficientes","2010",
"Mimon bennettii(Gray, 1838)","206091","Mimon bennettii","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Histiotus velatus(I. Geoffroy, 1824)","151316","Histiotus velatus","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Juliomys pictipes(Osgood, 1933)","251605","Juliomys pictipes","Cricetidae",,"DD","Dados Insuficientes","2010","Cricetidae"
"Dasypus septemcinctusLinnaeus, 1758",,,,,"NE","Não Avaliado","2010",
"Phyiomys dasythrixHensel, 1872",,,,,"DD","Dados Insuficientes","2010",
"Molossus rufus É. Geoffroy, 1805",,"Molossus rufus",,,"LC","Pouco Preocupante","2010",
"Gracilinanus agilis(Burmeister, 1854)","241511","Gracilinanus agilis","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Bradypus variegatusSchinz, 1825",,"Chiroderma doriae",,,"RE","Regionalmente Extinto","2010",
"Trachops cirrhosus(Spix, 1823)","142469","Trachops cirrhosus","Phyllostomidae",,"VU","Vulnerável","2010","Phyllostomidae"
"Promops nasutus(Spix, 1823)","247937","Promops nasutus","Molossidae",,"VU","Vulnerável","2010","Molossidae"
"Leopardus wiedii(Schinz, 1821)","131597","Leopardus wiedii","Felidae",,"VU","Vulnerável","2010","Felidae"
"Mazama gouazoubira(Fischer, 1814)","200015","Mazama gouazoubira","Cervidae",,"LC","Pouco Preocupante","2010","Cervidae"
"Cerdocyon thous(Linnaeus, 1766)","158906","Cerdocyon thous","Canidae",,"LC","Pouco Preocupante","2010","Canidae"
"Myocastor coypus(Molina, 1782)","183812","Myocastor coypus","Echimyidae",,"LC","Pouco Preocupante","2010","Echimyidae"
"Monodelphis scalops(Thomas, 1888)","114305","Monodelphis scalops","Didelphidae",,"NE","Não Avaliado","2010","Didelphidae"
"Myotis levis(I. Geoffroy, 1824)","151310","Myotis levis","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Tayassu pecari(Link, 1795)","225421","Tayassu pecari","Tayassuidae",,"CR","Criticamente em Perigo","2010","Tayassuidae"
"Brucepattersonius iheringi(Thomas, 1896)","220401","Brucepattersonius iheringi","Cricetidae",,"DD","Dados Insuficientes","2010","Cricetidae"
"Oligoryzomis nigripes(Olfers, 1818)","188577","Oligoryzomys nigripes","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Mazama americana(Erxleben, 1777)","262097","Mazama americana","Cervidae",,"VU","Vulnerável","2010","Cervidae"
"Chiroderma doriae Thomas, 1891",,"Chiroderma doriae",,,"VU","Vulnerável","2010",
"Panthera onca(Linnaeus, 1758)","257864","Panthera onca","Felidae",,"CR","Criticamente em Perigo","2010","Felidae"
"Euphractus sexcinctus(Linnaeus, 1758)","267658","Euphractus sexcinctus","Dasypodidae",,"LC","Pouco Preocupante","2010","Dasypodidae"
"Leopardus pardalis(Linnaeus, 1758)","195743","Leopardus pardalis","Felidae",,"VU","Vulnerável","2010","Felidae"
"Cavia aperea Erxleben, 1777",,"Cavia aperea",,,"LC","Pouco Preocupante","2010",
"Didelphis albiventris Lund, 1840",,"Didelphis albiventris",,,"LC","Pouco Preocupante","2010",
