"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Sphyrna lewini","171151","Sphyrna lewini","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Amazona ochrocephala xantholaema","238139","Amazona ochrocephala xantholaema","Psittacidae",,"Psittacidae","V","Vulnerável"
"Centrolobium paraensis",,,,,,"EN","Em Perigo"
"Jacaranda carajasensis","386496","Jacaranda carajasensis","Bignoniaceae",,"Bignoniaceae","EN","Em Perigo"
"Protium heptaphyllum ssp. cor- datum","393592","Protium heptaphyllum subsp. cordatum","Burseraceae",,"Burseraceae","V","Vulnerável"
"Ptychopetalum olacoides","294196","Ptychopetalum olacoides","Olacaceae",,"Olacaceae","V","Vulnerável"
"Tropidurus insulanus","178930","Tropidurus insulanus","Tropiduridae",,"Tropiduridae","V","Vulnerável"
"Bertholletia excelsa","302843","Bertholletia excelsa","Lecythidaceae",,"Lecythidaceae","V","Vulnerável"
"Thamnophilus aethiops incertus","200175","Thamnophilus aethiops incertus","Thamnophilidae",,"Thamnophilidae","EN","Em Perigo"
"Orthalicus pulchella","158933","Orthalicus pulchellus","Orthalicidae",,"Orthalicidae","V","Vulnerável"
"Ossubtus xinguense","198591","Ossubtus xinguense","Serrasalmidae",,"Serrasalmidae","V","Vulnerável"
"Tangara velia signata","170440","Tangara velia signata","Thraupidae",,"Thraupidae","EN","Em Perigo"
"Heteropsis flexuosa","298786","Heteropsis flexuosa","Araceae",,"Araceae","V","Vulnerável"
"Pilocarpus alatus","366264","Pilocarpus alatus","Rutaceae",,"Rutaceae","EN","Em Perigo"
"Mylesinus paucisquamatus","135731","Mylesinus paucisquamatus","Serrasalmidae",,"Serrasalmidae","V","Vulnerável"
"Phimophis guianensis","180890","Phimophis guianensis","Dipsadidae",,"Dipsadidae","EN","Em Perigo"
"Pyrrhura perlata lepida",,,,,,"EN","Em Perigo"
"Manta birostris","159025","Manta birostris","Myliobatidae",,"Myliobatidae","V","Vulnerável"
"Cedrela odorata","339222","Cedrela odorata","Meliaceae",,"Meliaceae","V","Vulnerável"
"Mezilaurus itauba","302696","Mezilaurus itauba","Lauraceae",,"Lauraceae","V","Vulnerável"
"Harpyhaliaetus coronatus",,,,,,"V","Vulnerável"
"Trichechus manatus","267761","Trichechus manatus","Trichechidae",,"Trichechidae","CR","Criticamente em Perigo"
"Oryzoborus maximiliani",,,,,,"CR","Criticamente em Perigo"
"Paratrygon aiereba","172057","Paratrygon aiereba","Potamotrygonidae",,"Potamotrygonidae","V","Vulnerável"
"Tupinambis merianae",,,,,,"V","Vulnerável"
"Charitospiza eucosma","264443","Charitospiza eucosma","Thraupidae",,"Thraupidae","V","Vulnerável"
"Crenicichla jegui","120248","Crenicichla jegui","Cichlidae",,"Cichlidae","CR","Criticamente em Perigo"
"Axonopus carajasensis","295015","Axonopus carajasensis","Poaceae",,"Poaceae","V","Vulnerável"
"Pseudoboa nigra","180878","Pseudoboa nigra","Dipsadidae",,"Dipsadidae","V","Vulnerável"
"Aechmea eurycorymbus","326826","Aechmea eurycorymbus","Bromeliaceae",,"Bromeliaceae","CR","Criticamente em Perigo"
"Aspidosperma desmanthum","298443","Aspidosperma desmanthum","Apocynaceae",,"Apocynaceae","V","Vulnerável"
"Euxylophora paraensis","365598","Euxylophora paraensis","Rutaceae",,"Rutaceae","V","Vulnerável"
"Agrias narcissus",,,,,,"EN","Em Perigo"
"Chiropotes utahickae","146957","Chiropotes utahicki","Pitheciidae",,"Pitheciidae","V","Vulnerável"
"Guaruba guarouba","175355","Guaruba guarouba","Psittacidae",,"Psittacidae","V","Vulnerável"
"Ephebopus murinus","137440","Ephebopus murinus","Theraphosidae",,"Theraphosidae","V","Vulnerável"
"Carcharhinus longimanus","128073","Carcharhinus longimanus","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Ipomoea carajaensis",,,,,,"EN","Em Perigo"
"Pterourus xanthopleura","256458","Pterourus xanthopleura","Papilionidae",,"Papilionidae","V","Vulnerável"
"Agrias amydon",,,,,,"EN","Em Perigo"
"Anodontites elongatus","190285","Anodontites elongatus","Mycetopodidae",,"Mycetopodidae","V","Vulnerável"
"Stenocercus dumerilii","241610","Stenocercus dumerilii","Tropiduridae",,"Tropiduridae","EN","Em Perigo"
"Potamobatrachus trispino-sus","235413","Potamobatrachus trispinosus","Batrachoididae",,"Batrachoididae","V","Vulnerável"
"Drymusa canhemabae",,,,,,"V","Vulnerável"
"Parides panthonus aglaope","194251","Parides panthonus aglaope","Papilionidae",,"Papilionidae","V","Vulnerável"
"Anapis discoidalis","245174","Anapis discoidalis","Anapidae",,"Anapidae","V","Vulnerável"
"Smilax longifolia","368561","Smilax longifolia","Smilacaceae",,"Smilacaceae","V","Vulnerável"
"Parides klagesi","256382","Parides klagesi","Papilionidae",,"Papilionidae","EN","Em Perigo"
"Aniba rosaeodora","279528","Aniba rosiodora","Lauraceae",,"Lauraceae","EN","Em Perigo"
"Anolis nitens brasiliensis",,,,,,"V","Vulnerável"
"Heraclides garleppi lecerfi","130684","Heraclides garleppi lecerfi","Papilionidae",,"Papilionidae","EN","Em Perigo"
"Pristis pectinata","140625","Pristis pectinata","Pristidae",,"Pristidae","CR","Criticamente em Perigo"
"Hymenolobium excelsum","281479","Hymenolobium excelsum","Fabaceae",,"Fabaceae","V","Vulnerável"
"Sphyrna tudes","202289","Sphyrna tudes","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Mimosa skinneri Benth. var.carajarum","288076","Mimosa skinneri var. carajarum","Fabaceae",,"Fabaceae","V","Vulnerável"
"Crax fasciolata pinima","187007","Crax fasciolata pinima","Cracidae",,"Cracidae","EN","Em Perigo"
"Anodontites soleniformis",,,,,,"V","Vulnerável"
"Mimosa acutistipula Bth var. ferrea","392220","Mimosa acutistipula var. ferrea","Fabaceae",,"Fabaceae","V","Vulnerável"
"Myrmotherula klagesi","231030","Myrmotherula klagesi","Thamnophilidae",,"Thamnophilidae","V","Vulnerável"
"Heraclides chiansiades","130103","Heraclides chiansiades","Papilionidae",,"Papilionidae","EN","Em Perigo"
"Uromacerina ricardinii","116863","Uromacerina ricardinii","Dipsadidae",,"Dipsadidae","V","Vulnerável"
"Cissus apendiculata","297889","Cissus apendiculata","Vitaceae",,"Vitaceae","V","Vulnerável"
"Carcharhinus porosus","128532","Carcharhinus porosus","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Pouteria brevensis","368321","Pouteria brevensis","Sapotaceae",,"Sapotaceae","V","Vulnerável"
"Drymusa espelunca",,,,,,"EN","Em Perigo"
"Leila esula",,,,,,"V","Vulnerável"
"Jacaranda morii","386630","Jacaranda morii","Bignoniaceae",,"Bignoniaceae","V","Vulnerável"
"Liophis maryellenae",,,,,,"V","Vulnerável"
