Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Aspilia cordifolia J. U. Santos	311753	Aspilia cordifolia	Asteraceae		Asteraceae	EN	Em Perigo	2008
Bothrops itapetiningae (Boulenger, 1907)	152288	Bothrops itapetiningae	Viperidae		Bothrops itapetiningae	VU	Vulnerável	2010
Spigelia aceifolia Woodson	320857	Spigelia aceifolia	Loganiaceae		Loganiaceae	EN	Em Perigo	2008
Pilosocereus floccosus floccosus (Backeb. & Voll) Byles & Rowley	368167	Pilosocereus floccosus subsp. floccosus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Lavoisiera sampaioana Barreto	322059	Lavoisiera sampaioana	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Griffinia gardneriana (Herb.) Ravenna	283770	Griffinia gardneriana	Amaryllidaceae		Amaryllidaceae	EN	Em Perigo	2008
Sophronitis pendula (R.C.Mota, P.L.Viana & K.G.Lacerda) Van den Berg & M.W.Chase	364834	Sophronitis pendula	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Quiina magalano-gomesii Schwacke	279396	Quiina magallano-gomesii	Quiinaceae		Quiinaceae	VU	Vulnerável	2008
Thelypteris riograndensis (Lindm.) C.F. Reed	390426	Thelypteris riograndensis	Thelypteridaceae		Thelypteridaceae	EN	Em Perigo	2008
Leucopternis lacernulatus (Temminck, 1827)		Leucopternis lacernulatus	Thelypteridaceae		Thelypteridaceae	CR	Criticamente em Perigo	2010
Paepalanthus bromelioides Silveira	316743	Paepalanthus bromelioides	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Asplenium mourai Hieron.	298595	Asplenium mourai	Aspleniaceae		Aspleniaceae	VU	Vulnerável	2008
Lellingeria depressa (C. Chr.) A.R. Sm. & R.C. Moran	348903	Lellingeria depressa	Polypodiaceae		Polypodiaceae	EN	Em Perigo	2008
Minasia cabralensis H.Rob.	313076	Minasia cabralensis	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Encholirium gracile L.B.Sm.	327717	Encholirium gracile	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
