Familia	nomeCientifico	Autor	Categoria	Criterio
Acanthaceae	Mendoncia puberula	Mart.	EN	B1ab(ii,iii,iv)
Alstroemeriaceae	Alstroemeria albescens	M.C. Assis	CR	B2ab(ii)c(ii)
Alstroemeriaceae	Alstroemeria sellowiana	Seub. ex Schenk	VU	B1ab(i)c(i)
Amaranthaceae	Alternanthera praelonga	A. St.-Hil.	EN	B2b(i,ii,iii)
Amaranthaceae	Alternanthera hirtula	(Mart.) R.E. Fr.	EN	A2ac
Amaranthaceae	Alternanthera malmeana	R.E. Fr.	CR	B1b(i,ii,iii)c(ii)
Amaranthaceae	Alternanthera reineckii	Briq.	EN	B2b(iii)c(iv)
Amaranthaceae	Alternanthera tenella	Colla	VU	A3c
Amaranthaceae	Amaranthus rosengurtii	A. Hunziker	CR	B1ab(i,iii)
Amaranthaceae	Blutaparon portulacoides	(A. St.-Hil.) Mears	VU	A1ab
Amaranthaceae	Celosia grandifolia	Moq.	EN	A2ac
Amaranthaceae	Chamissoa altissima	(Jacq.) H.B.K.	VU	A2bc+3bc+4bc
Amaranthaceae	Froelichia tomentosa	(Mart.) Moq.	EN	B1b(i,ii,iii,iv)
Amaranthaceae	Gomphrena pulchella	Mart.	EN	B1ab(i,ii,iii,iv)
Amaranthaceae	Gomphrena schlechtendaliana	Mart.	CR	A2ac
Amaranthaceae	Gomphrena sellowiana	Mart.	CR	A2acd
Amaranthaceae	Hebanthe eriantha	(Poir) Pedersen	CR	A2acd
Amaranthaceae	Pfaffia glomerata	(Spreng.) Pedersen 	VU	A2acd
Amaranthaceae	Pseudoplantago friesii	Suess	CR	A2acd
Amaranthaceae	Quaternella glabratoides	(Suess.) Pedersen	EN	A2acd
Amaranthaceae	Sarcocornia fruticosa	(L.) A.J. Scott	EN	B1ab(i,iv)
Amaranthaceae	Sarcocornia perennis	(Mill.) A.J. Scott	CR	A2acd
Amaryllidaceae	Hippeastrum angustifolium	Pax	EN	A2ace+3ce+4ace; B1ab(ii,iii,v)c(ii,iv)+2ab(ii,iii,v)c(iv); C1; E
Amaryllidaceae	Hippeastrum breviflorum	Herb.	EN	B2ab(i,ii,iii)
Amaryllidaceae	Hippeastrum papilio	(Ravenna) Van Scheepen	CR	D 
Amaryllidaceae	Hippeastrum santacatarina	(Traub) Dutilh	EN	B1ab(i,ii,iii)+2ab(i,ii,iii)
Amaryllidaceae	Zephyranthes americana	(Hoffmanns.) Ravenna	VU	B1ab(i,ii,iii)
Anacardiaceae	Myracrodruon balansae	(Engl.) Santin	EN	B2ab(iii)
Annonaceae	Annona cacans	Warm.	VU	B1ab(iii)+2ab(iii)
Annonaceae	Annona emarginata	(Schltdl.) H.Rainer	VU	B1b(iii)c(ii)+2b(iii)c(ii)
Annonaceae	Annona glabra	L.	CR	B1ab(ii)+2ab(iii)
