"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Metachirus nudicaudatus","116246","Metachirus nudicaudatus","Didelphidae",,"Didelphidae","VU","Vulnerável","2011"
"Lipaugus lanioides","249593","Lipaugus lanioides","Cotingidae",,"Cotingidae","EN","Em Perigo","2011"
"Sporophila hypoxantha","138904","Sporophila hypoxantha","Thraupidae","Animalia","Thraupidae","VU","Vulnerável","2011"
"Thalassarche chrysostoma","180232","Thalassarche chrysostoma","Diomedeidae",,"Diomedeidae","VU","Vulnerável","2011"
"Chironectes minimus","178881","Chironectes minimus","Didelphidae",,"Didelphidae","VU","Vulnerável","2011"
"Alopias superciliosus","182269","Alopias superciliosus","Alopiidae",,"Alopiidae","VU","Vulnerável","2011"
"Asterina stelifera","200487","Asterina stellifera","Asterinidae",,"Asterinidae","VU","Vulnerável","2011"
"Eubalaena australias","202658","Eubalaena australis","Balaenidae",,"Balaenidae","VU","Vulnerável","2011"
"Pteroglossus castanotis","148888","Pteroglossus castanotis","Ramphastidae",,"Ramphastidae","CR","Criticamente em perigo","2011"
"Mustelus schmitti","267757","Mustelus schmitti","Triakidae",,"Triakidae","CR","Criticamente em perigo","2011"
"Rhinobatos horkeli","117296","Rhinobatos horkelii","Rhinobatidae",,"Rhinobatidae","CR","Criticamente em perigo","2011"
"Sturnina tildae",,,,,,"VU","Vulnerável","2011"
"Rachoviscus crassiceps","170283","Rachoviscus crassiceps","Characidae",,"Characidae","CR","Criticamente em perigo","2011"
"Piculus flavigula","142339","Piculus flavigula","Picidae",,"Picidae","VU","Vulnerável","2011"
"Alouatta clamitans",,,,,,"VU","Vulnerável","2011"
"Ochropyge ruficauda","241424","Ochropyge ruficauda","Hesperiidae",,"Hesperiidae","CR","Criticamente em perigo","2011"
"Limnomedusa macroglossa","244774","Limnomedusa macroglossa","Alsodidae",,"Alsodidae","EN","Em Perigo","2011"
"Hypsiboas marginatus","156096","Hypsiboas marginatus","Hylidae",,"Hylidae","VU","Vulnerável","2011"
"Deuterodon longirostris","170033","Deuterodon longirostris","Characidae",,"Characidae","VU","Vulnerável","2011"
"Campelolebias chrysolineatus","158301","Campellolebias chrysolineatus","Rivulidae",,"Rivulidae","CR","Criticamente em perigo","2011"
"Claravis godefrida",,,,,,"CR","Criticamente em perigo","2011"
"Rhamdiopsis moreirai","240385","Rhamdiopsis moreirai","Heptapteridae",,"Heptapteridae","VU","Vulnerável","2011"
