"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Taxilejeunea asthenica (Spruce) Steph.","364868","Taxilejeunea asthenica","Lejeuneaceae",,"Lejeuneaceae","EX","Extinta","2016"
"Phyllostylon rhamnoides (J.Poiss.) Taub.","370785","Phyllostylon rhamnoides","Ulmaceae",,"Ulmaceae","EN","Em Perigo","2016"
"Tephrosia sessiliflora Hassl.","326644","Tephrosia sessiliflora","Fabaceae",,"Fabaceae","VU","Vulnerável","2016"
"Miconia sclerophylla Triana","292793","Miconia sclerophylla","Melastomataceae",,"Melastomataceae","EN","Em Perigo","2016"
"Leandra calvescens (Triana) Cogn.","337781","Leandra calvescens","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Ichnanthus lancifolius Mez","294957","Ichnanthus lancifolius","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Paspalum foliiforme S.Denham","378712","Paspalum foliiforme","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Reissekia smilacina (Sm.) Steud.","295814","Reissekia smilacina","Rhamnaceae",,"Rhamnaceae","EX","Extinta","2016"
"Marlierea skortzoviana Mattos","341006","Marlierea skortzoviana","Myrtaceae",,"Myrtaceae","CR","Criticamente em Perigo","2016"
"Sarcoglottis uliginosa Barb.Rodr.","345746","Sarcoglottis uliginosa","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Mauritia flexuosa L.f.","284459","Mauritia flexuosa","Arecaceae",,"Arecaceae","VU","Vulnerável","2016"
"Evolvulus elegans Moric. var. confertifolius Meisn.","278944","Evolvulus elegans var. confertifolius","Convolvulaceae",,"Convolvulaceae","EX","Extinta","2016"
"Oxalis hyalotricha Lourteig","274227","Oxalis hyalotricha","Oxalidaceae",,"Oxalidaceae","EN","Em Perigo","2016"
"Valeriana glaziovii Taub.","282688","Valeriana glaziovii","Caprifoliaceae",,"Caprifoliaceae","EN","Em Perigo","2016"
"Cupania furfuracea Radlk.","349980","Cupania furfuracea","Sapindaceae",,"Sapindaceae","VU","Vulnerável","2016"
"Xyris rigida Kunth","369379","Xyris rigida","Xyridaceae",,"Xyridaceae","CR","Criticamente em Perigo","2016"
"Dioscorea mollis Kunth","331598","Dioscorea mollis","Dioscoreaceae",,"Dioscoreaceae","VU","Vulnerável","2016"
"Symplocos itatiaiae Wawra","282145","Symplocos itatiaiae","Symplocaceae",,"Symplocaceae","EN","Em Perigo","2016"
"Myrcia bicolor Kiaersk.","341157","Myrcia bicolor","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Neocabreria malachophylla (Klatt) R.M.King & H.Rob","333165","Neocabreria malachophylla","Asteraceae",,"Asteraceae","VU","Vulnerável","2016"
"Passiflora campanulata Mast.","274371","Passiflora campanulata","Passifloraceae",,"Passifloraceae","EW","EW","2016"
"Myriocoleopsis fluviatilis (Steph.) E.Reiner & Gradst.","364703","Myriocoleopsis fluviatilis","Lejeuneaceae",,"Lejeuneaceae","VU","Vulnerável","2016"
"Neoregelia burle-marxii Read.","354084","Neoregelia burlemarxii","Bromeliaceae",,"Bromeliaceae","VU","Vulnerável","2016"
"Enhydra sessilis DC.",,,,,,"EX","Extinta","2016"
"Axonopus comans (Trin. ex Döll) Kuhlm.","348547","Axonopus comans","Poaceae",,"Poaceae","EX","Extinta","2016"
"Mnioloma crenulatum (Bischl.) R.M.Schust.","363514","Mnioloma crenulatum","Calypogeiaceae",,"Calypogeiaceae","VU","Vulnerável","2016"
"Zizaniopsis microstachya (Nees ex Trin.) Döll & Asch.","278154","Zizaniopsis microstachya","Poaceae",,"Poaceae","EX","Extinta","2016"
"Spananthe paniculata Jacq.","283855","Spananthe paniculata","Apiaceae",,"Apiaceae","EX","Extinta","2016"
"Homolepis villaricensis (Mez) Zuloaga & Morrone","276891","Homolepis villaricensis","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Piper kuhlmannii Yuncker","275367","Piper kuhlmannii","Piperaceae",,"Piperaceae","EX","Extinta","2016"
"Graffenrieda weddellii Naudin","337659","Graffenrieda weddellii","Melastomataceae",,"Melastomataceae","EN","Em Perigo","2016"
"Mikania bradei B.L.Rob.","325476","Mikania bradei","Asteraceae",,"Asteraceae","EX","Extinta","2016"
"Chromolaena arrayana (Gardner) R.M.King & H.Rob.","312047","Chromolaena arrayana","Asteraceae",,"Asteraceae","VU","Vulnerável","2016"
"Aiouea bracteata Kosterm.","334465","Aiouea bracteata","Lauraceae",,"Lauraceae","VU","Vulnerável","2016"
"Drepanolejeunea aculeata Bischl.","364376","Drepanolejeunea aculeata","Lejeuneaceae",,"Lejeuneaceae","EX","Extinta","2016"
"Matelea marcoassisii Fontella","323544","Matelea marcoassisii","Apocynaceae",,"Apocynaceae","VU","Vulnerável","2016"
"Billbergia alfonsi-joannis Reitz","353381","Billbergia alfonsi-joannis","Bromeliaceae",,"Bromeliaceae","VU","Vulnerável","2016"
"Barbacenia paranaensis L.B.Sm.","368663","Barbacenia paranaensis","Velloziaceae",,"Velloziaceae","EN","Em Perigo","2016"
"Alternanthera reinekii Briq.","380148","Alternanthera reineckii","Amaranthaceae",,"Amaranthaceae","VU","Vulnerável","2016"
"Lessingianthus zuccarinianus (Mart. ex DC.) H.Rob.","312926","Lessingianthus zuccarinianus","Asteraceae",,"Asteraceae","VU","Vulnerável","2016"
"Cirrhaea longiracemosa Hoehne","343278","Cirrhaea longiracemosa","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Prestonia solanifolia (Müll.Arg.) Woodson","323951","Prestonia solanifolia","Apocynaceae",,"Apocynaceae","EX","Extinta","2016"
"Glinus radiatus (Ruiz & Pav.) Rohrb.","339396","Glinus radiatus","Molluginaceae",,"Molluginaceae","EX","Extinta","2016"
