"nome_cientifico";"familia";"status"
"Aphelandra espirito-santensis";"Acanthaceae";"EN"
"Aphelandra margaritae";"Acanthaceae";"VU"
"Aphelandra maximiliana";"Acanthaceae";"EN"
"Aphelandra rigida";"Acanthaceae";"EN"
"Aphelandra stephanophysa";"Acanthaceae";"VU"
"Dyschoriste lavandulacea";"Acanthaceae";"EN"
"Dyschoriste smithii";"Acanthaceae";"CR"
"Justicia clausseniana";"Acanthaceae";"EN"
"Justicia genuflexa";"Acanthaceae";"VU"
"Justicia meyeniana";"Acanthaceae";"EN"
"Justicia nervata";"Acanthaceae";"EN"
"Justicia polita";"Acanthaceae";"EN"
"Justicia ramulosa";"Acanthaceae";"VU"
"Justicia tijucensis";"Acanthaceae";"VU"
"Odontonema dissitiflorum";"Acanthaceae";"EN"
"Pachystachys dubiosa";"Acanthaceae";"EN"
"Schaueria paranaensis";"Acanthaceae";"EN"
"Staurogyne brachiata";"Acanthaceae";"EN"
"Staurogyne elegans";"Acanthaceae";"VU"
"Staurogyne euryphylla";"Acanthaceae";"EN"
"Staurogyne itatiaiae";"Acanthaceae";"EN"
"Staurogyne vauthieriana";"Acanthaceae";"EN"
"Staurogyne veronicifolia";"Acanthaceae";"EN"
"Staurogyne warmingiana";"Acanthaceae";"EN"
"Stenandrium hatschbachii";"Acanthaceae";"EN"
"Stenandrium stenophyllum";"Acanthaceae";"EN"
"Kuhlmanniodendron macrocarpum";"Achariaceae";"EN"
"Sagittaria lancifolia";"Alismataceae";"VU"
"Alstroemeria amabilis";"Alstroemeriaceae";"EN"
"Alstroemeria brasiliensis";"Alstroemeriaceae";"EN"
"Alstroemeria capixaba";"Alstroemeriaceae";"CR"
"Alstroemeria caryophyllaea";"Alstroemeriaceae";"EN"
"Alstroemeria malmeana";"Alstroemeriaceae";"CR"
"Alstroemeria orchidioides";"Alstroemeriaceae";"EN"
"Alstroemeria penduliflora";"Alstroemeriaceae";"EN"
"Alternanthera hirtula";"Amaranthaceae";"VU"
"Alternanthera januarensis";"Amaranthaceae";"EN"
"Amaranthus rosengurtii";"Amaranthaceae";"EN"
"Froelichiella grisea";"Amaranthaceae";"EN"
"Gomphrena centrota";"Amaranthaceae";"EN"
"Gomphrena hatschbachiana";"Amaranthaceae";"EN"
"Gomphrena nigricans";"Amaranthaceae";"CR"
"Gomphrena paranensis";"Amaranthaceae";"VU"
"Gomphrena pulchella";"Amaranthaceae";"EN"
"Gomphrena regeliana";"Amaranthaceae";"VU"
"Pfaffia argyrea";"Amaranthaceae";"EN"
"Pfaffia minarum";"Amaranthaceae";"VU"
"Quaternella glabratoides";"Amaranthaceae";"EN"
"Griffinia aracensis";"Amaryllidaceae";"CR"
"Griffinia colatinensis";"Amaryllidaceae";"CR"
"Griffinia espiritensis";"Amaryllidaceae";"EN"
"Griffinia gardneriana";"Amaryllidaceae";"EN"
"Griffinia hyacinthina";"Amaryllidaceae";"EN"
"Griffinia intermedia";"Amaryllidaceae";"EN"
"Griffinia liboniana";"Amaryllidaceae";"EN"
"Griffinia nocturna";"Amaryllidaceae";"CR"
"Griffinia parviflora";"Amaryllidaceae";"CR"
"Griffinia paubrasilica";"Amaryllidaceae";"CR"
"Hippeastrum angustifolium";"Amaryllidaceae";"VU"
"Hippeastrum brasilianum";"Amaryllidaceae";"EN"
"Hippeastrum breviflorum";"Amaryllidaceae";"EN"
"Hippeastrum leucobasis";"Amaryllidaceae";"CR"
"Hippeastrum morelianum";"Amaryllidaceae";"VU"
"Hippeastrum";"Amaryllidaceae";"CR"
"Hippeastrum psittacinum";"Amaryllidaceae";"EN"
"Hippeastrum";"Amaryllidaceae";"EN"
"Hippeastrum santacatarina";"Amaryllidaceae";"EN"
"Hippeastrum striatum";"Amaryllidaceae";"EN"
"Hippeastrum vittatum";"Amaryllidaceae";"EN"
"Worsleya procera";"Amaryllidaceae";"EN"
"Zephyranthes blumenavia";"Amaryllidaceae";"EN"
"Zephyranthes candida";"Amaryllidaceae";"EN"
"Zephyranthes capivarina";"Amaryllidaceae";"VU"
"Zephyranthes coerulea";"Amaryllidaceae";"VU"
"Zephyranthes irwiniana";"Amaryllidaceae";"VU"
"Zephyranthes paranaensis";"Amaryllidaceae";"EN"
"Astronium balansae";"Anacardiaceae";"EN"
"Astronium glaziovii";"Anacardiaceae";"EN"
"Astronium pumilum";"Anacardiaceae";"VU"
"Campnosperma gummiferum";"Anacardiaceae";"EN"
"Schinopsis balansae";"Anacardiaceae";"EN"
"Schinus ramboi";"Anacardiaceae";"EN"
"Spondias admirabilis";"Anacardiaceae";"EN"
"Spondias bahiensis";"Anacardiaceae";"EN"
"Thyrsodium bolivianum";"Anacardiaceae";"EN"
"Anemia blechnoides";"Anemiaceae";"VU"
"Anemia dentata";"Anemiaceae";"VU"
"Anemia gardneri";"Anemiaceae";"VU"
"Anemia trichorhiza";"Anemiaceae";"VU"
"Anisophyllea manausensis";"Anisophylleaceae";"VU"
"Annona angustifolia";"Annonaceae";"EN"
"Annona ferruginea";"Annonaceae";"CR"
"Annona gardneri";"Annonaceae";"EN"
"Annona parviflora";"Annonaceae";"VU"
"Bocagea viridis";"Annonaceae";"VU"
"Cymbopetalum euneurum";"Annonaceae";"EN"
"Duguetia bahiensis";"Annonaceae";"VU"
"Duguetia duckei";"Annonaceae";"EN"
"Duguetia magnolioidea";"Annonaceae";"EN"
"Duguetia microphylla";"Annonaceae";"EN"
"Duguetia pohliana";"Annonaceae";"EN"
"Duguetia restingae";"Annonaceae";"CR"
"Duguetia rotundifolia";"Annonaceae";"VU"
"Duguetia scottmorii";"Annonaceae";"EN"
"Duguetia sooretamae";"Annonaceae";"EN"
"Duguetia subcordata";"Annonaceae";"EN"
"Guatteria attenuata";"Annonaceae";"CR"
"Guatteria hispida";"Annonaceae";"EN"
"Guatteria latifolia";"Annonaceae";"EN"
"Guatteria stenocarpa";"Annonaceae";"EN"
"Hornschuchia alba";"Annonaceae";"CR"
"Hornschuchia cauliflora";"Annonaceae";"EN"
"Hornschuchia leptandra";"Annonaceae";"EN"
"Hornschuchia lianarum";"Annonaceae";"EN"
"Hornschuchia myrtillus";"Annonaceae";"VU"
"Hornschuchia obliqua";"Annonaceae";"EN"
"Hornschuchia santosii";"Annonaceae";"EN"
"Oxandra unibracteata";"Annonaceae";"CR"
"Pseudoxandra bahiensis";"Annonaceae";"VU"
"Pseudoxandra spiritus-sancti";"Annonaceae";"EN"
"Trigynaea axilliflora";"Annonaceae";"EN"
"Trigynaea oblongifolia";"Annonaceae";"EN"
"Unonopsis aurantiaca";"Annonaceae";"EN"
"Unonopsis bauxitae";"Annonaceae";"CR"
"Unonopsis riedeliana";"Annonaceae";"EN"
"Unonopsis sanctae-teresae";"Annonaceae";"CR"
"Xylopia atlantica";"Annonaceae";"EN"
"Xylopia brasiliensis";"Annonaceae";"VU"
"Xylopia decorticans";"Annonaceae";"EN"
"Xylopia involucrata";"Annonaceae";"VU"
"Xylopia trichostemon";"Annonaceae";"VU"
"Eryngium corallinum";"Apiaceae";"CR"
"Eryngium divaricatum";"Apiaceae";"EN"
"Eryngium dorae";"Apiaceae";"CR"
"Eryngium falcifolium";"Apiaceae";"EN"
"Eryngium fluminense";"Apiaceae";"VU"
"Eryngium koehneanum";"Apiaceae";"VU"
"Eryngium ombrophilum";"Apiaceae";"EN"
"Eryngium ramboanum";"Apiaceae";"CR"
"Eryngium scirpinum";"Apiaceae";"EN"
"Eryngium smithii";"Apiaceae";"EN"
"Eryngium urbanianum";"Apiaceae";"EN"
"Eryngium zosterifolium";"Apiaceae";"VU"
"Klotzschia rhizophylla";"Apiaceae";"EN"
"Lilaeopsis brasiliensis";"Apiaceae";"VU"
"Aspidosperma auriculatum";"Apocynaceae";"EN"
"Aspidosperma castroanum";"Apocynaceae";"EN"
"Aspidosperma confertiflorum";"Apocynaceae";"EN"
"Aspidosperma formosanum";"Apocynaceae";"EN"
"Aspidosperma huberianum";"Apocynaceae";"EN"
"Aspidosperma nigricans";"Apocynaceae";"EN"
"Aspidosperma obscurinervium";"Apocynaceae";"EN"
"Aspidosperma occidentale";"Apocynaceae";"EN"
"Aspidosperma oliganthum";"Apocynaceae";"EN"
"Aspidosperma parvifolium";"Apocynaceae";"EN"
"Aspidosperma rizzoanum";"Apocynaceae";"EN"
"Aspidosperma salgadense";"Apocynaceae";"EN"
"Aspidosperma thomasii";"Apocynaceae";"EN"
"Ditassa auriflora";"Apocynaceae";"CR"
"Ditassa cipoensis";"Apocynaceae";"EN"
"Ditassa cordeiroana";"Apocynaceae";"EN"
"Ditassa itambensis";"Apocynaceae";"EN"
"Ditassa laevis";"Apocynaceae";"EN"
"Ditassa leonii";"Apocynaceae";"VU"
"Ditassa longisepala";"Apocynaceae";"EN"
"Ditassa maricaensis";"Apocynaceae";"EN"
"Ditassa melantha";"Apocynaceae";"EN"
"Ditassa oberdanii";"Apocynaceae";"EN"
"Gonolobus dorothyanus";"Apocynaceae";"EN"
"Gyrostelma bornmuelleri";"Apocynaceae";"EN"
"Gyrostelma oxypetaloides";"Apocynaceae";"EN"
"Hemipogon abietoides";"Apocynaceae";"CR"
"Hemipogon hatschbachii";"Apocynaceae";"CR"
"Jobinia hatschbachii";"Apocynaceae";"EN"
"Lacmellea bahiensis";"Apocynaceae";"EN"
"Lacmellea pauciflora";"Apocynaceae";"EN"
"Macroditassa marianae";"Apocynaceae";"CR"
"Malouetia amazonica";"Apocynaceae";"EN"
"Malouetia gracillima";"Apocynaceae";"EN"
"Malouetia lata";"Apocynaceae";"EN"
"Mandevilla crassinoda";"Apocynaceae";"EN"
