"id";"taxonID";"scientificName";"family";"taxonRank";"scientificNameAuthorship";"taxonomicStatus";"countryCode";"threatStatus"
"4089";"4089";"Aphelandra espirito-santensis";"ACANTHACEAE";"species";"Profice & Wassh.";"accepted";"BR";"EN"
"102217";"102217";"Aphelandra margaritae";"ACANTHACEAE";"species";"E.Morren";"accepted";"BR";"VU"
"4099";"4099";"Aphelandra maximiliana";"ACANTHACEAE";"species";"(Nees) Benth.";"accepted";"BR";"EN"
"4125";"4125";"Dyschoriste lavandulacea";"ACANTHACEAE";"species";"(Nees) Kuntze";"accepted";"BR";"EN"
"77813";"77813";"Dyschoriste smithii";"ACANTHACEAE";"species";"Leonard";"accepted";"BR";"CR"
"104445";"104445";"Justicia clausseniana";"ACANTHACEAE";"species";"(Nees) Profice";"accepted";"BR";"EN"
"4151";"4151";"Justicia genuflexa";"ACANTHACEAE";"species";"Nees & Mart.";"accepted";"BR";"VU"
"104034";"104034";"Justicia paranaensis";"ACANTHACEAE";"species";"(Rizzini) Wassh. & L.B.Sm.";"accepted";"BR";"EN"
"4163";"4163";"Justicia polita";"ACANTHACEAE";"species";"(Nees) Profice";"accepted";"BR";"EN"
"106521";"106521";"Justicia ramulosa";"ACANTHACEAE";"species";"(Morong) C.Ezcurra";"accepted";"BR";"VU"
"4169";"4169";"Justicia tijucensis";"ACANTHACEAE";"species";"V.A.W.Graham";"accepted";"BR";"VU"
"106611";"106611";"Odontonema dissitiflorum";"ACANTHACEAE";"species";"(Nees) Kuntze";"accepted";"BR";"EN"
"4225";"4225";"Staurogyne brachiata";"ACANTHACEAE";"species";"(Hiern) Leonard";"accepted";"BR";"EN"
"77844";"77844";"Staurogyne carvalhoi";"ACANTHACEAE";"species";"Profice";"accepted";"BR";"VU"
"4226";"4226";"Staurogyne elegans";"ACANTHACEAE";"species";"(Nees) Kuntze";"accepted";"BR";"VU"
"4232";"4232";"Staurogyne itatiaiae";"ACANTHACEAE";"species";"(Wawra) Leonard";"accepted";"BR";"EN"
"4239";"4239";"Staurogyne vauthieriana";"ACANTHACEAE";"species";"(Nees) Kuntze";"accepted";"BR";"EN"
"4240";"4240";"Staurogyne veronicifolia";"ACANTHACEAE";"species";"(Nees) Kuntze";"accepted";"BR";"EN"
"4241";"4241";"Staurogyne warmingiana";"ACANTHACEAE";"species";"(Hiern) Leonard";"accepted";"BR";"EN"
"25079";"25079";"Stenandrium hatschbachii";"ACANTHACEAE";"species";"Wassh.";"accepted";"BR";"EN"
"25080";"25080";"Stenandrium stenophyllum";"ACANTHACEAE";"species";"Kameyama";"accepted";"BR";"EN"
"106507";"106507";"Streblacanthus dubiosus";"ACANTHACEAE";"species";"(Lindau) V.M.Baum";"accepted";"BR";"EN"
"4274";"4274";"Sagittaria lancifolia";"ALISMATACEAE";"species";"L.";"accepted";"BR";"VU"
"4278";"4278";"Alstroemeria amabilis";"ALSTROEMERIACEAE";"species";"M.C.Assis";"accepted";"BR";"EN"
"26310";"26310";"Alstroemeria brasiliensis";"ALSTROEMERIACEAE";"species";"Spreng.";"accepted";"BR";"EN"
"4280";"4280";"Alstroemeria capixaba";"ALSTROEMERIACEAE";"species";"M.C.Assis";"accepted";"BR";"CR"
"4281";"4281";"Alstroemeria caryophyllaea";"ALSTROEMERIACEAE";"species";"Jacq.";"accepted";"BR";"EN"
"4289";"4289";"Alstroemeria malmeana";"ALSTROEMERIACEAE";"species";"Kraenzl.";"accepted";"BR";"CR"
"26317";"26317";"Alstroemeria orchidioides";"ALSTROEMERIACEAE";"species";"Meerow";"accepted";"BR";"EN"
"26318";"26318";"Alstroemeria penduliflora";"ALSTROEMERIACEAE";"species";"M.C.Assis";"accepted";"BR";"EN"
"26326";"26326";"Alternanthera decurrens";"AMARANTHACEAE";"species";"J.C.Siqueira";"accepted";"BR";"EN"
"111937";"111937";"Alternanthera hirtula";"AMARANTHACEAE";"species";"(Mart.) R.E.Fr.";"accepted";"BR";"VU"
"26327";"26327";"Alternanthera januarensis";"AMARANTHACEAE";"species";"J.C.Siqueira";"accepted";"BR";"EN"
"101482";"101482";"Amaranthus rosengurtii";"AMARANTHACEAE";"species";"Hunz.";"accepted";"BR";"EN"
"26333";"26333";"Froelichiella grisea";"AMARANTHACEAE";"species";"R.E.Fr.";"accepted";"BR";"EN"
"104056";"104056";"Gomphrena centrota";"AMARANTHACEAE";"species";"E.Holzh.";"accepted";"BR";"EN"
"25101";"25101";"Gomphrena hatschbachiana";"AMARANTHACEAE";"species";"Pedersen";"accepted";"BR";"EN"
"15440";"15440";"Gomphrena nigricans";"AMARANTHACEAE";"species";"Mart.";"accepted";"BR";"CR"
"26345";"26345";"Gomphrena paranensis";"AMARANTHACEAE";"species";"R.E.Fr.";"accepted";"BR";"VU"
"104396";"104396";"Gomphrena pulchella";"AMARANTHACEAE";"species";"Mart.";"accepted";"BR";"EN"
"26348";"26348";"Gomphrena regeliana";"AMARANTHACEAE";"species";"Seub.";"accepted";"BR";"VU"
"26350";"26350";"Pfaffia argyrea";"AMARANTHACEAE";"species";"Pedersen";"accepted";"BR";"EN"
"101612";"101612";"Pfaffia minarum";"AMARANTHACEAE";"species";"Pedersen";"accepted";"BR";"VU"
"116742";"116742";"Quaternella glabratoides";"AMARANTHACEAE";"species";"(Suess.) Pedersen";"accepted";"BR";"EN"
"4336";"4336";"Eithea blumenavia";"AMARYLLIDACEAE";"species";"(Koch & Bouché) Ravenna";"accepted";"BR";"EN"
"15454";"15454";"Griffinia aracensis";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"CR"
"4340";"4340";"Griffinia colatinensis";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"CR"
"4342";"4342";"Griffinia espiritensis";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"EN"
"15455";"15455";"Griffinia gardneriana";"AMARYLLIDACEAE";"species";"(Herb.) Ravenna";"accepted";"BR";"EN"
"4343";"4343";"Griffinia hyacinthina";"AMARYLLIDACEAE";"species";"Ker Gawl.";"accepted";"BR";"EN"
"15456";"15456";"Griffinia liboniana";"AMARYLLIDACEAE";"species";"Morren";"accepted";"BR";"EN"
"116434";"116434";"Griffinia nocturna";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"CR"
"4349";"4349";"Griffinia parviflora";"AMARYLLIDACEAE";"species";"Ker Gawl.";"accepted";"BR";"CR"
"4350";"4350";"Griffinia paubrasilica";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"CR"
"40641";"40641";"Habranthus coeruleus";"AMARYLLIDACEAE";"species";"(Griseb.) Traub";"accepted";"BR";"VU"
"33469";"33469";"Habranthus irwinianus";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"VU"
"33479";"33479";"Hippeastrum angustifolium";"AMARYLLIDACEAE";"species";"Pax";"accepted";"BR";"VU"
"4357";"4357";"Hippeastrum brasilianum";"AMARYLLIDACEAE";"species";"(Traub & J.L.Doran) Dutilh";"accepted";"BR";"EN"
"4358";"4358";"Hippeastrum breviflorum";"AMARYLLIDACEAE";"species";"Herb.";"accepted";"BR";"EN"
"26367";"26367";"Hippeastrum goianum";"AMARYLLIDACEAE";"species";"(Ravenna) Meerow";"accepted";"BR";"EN"
"33499";"33499";"Hippeastrum leucobasis";"AMARYLLIDACEAE";"species";"(Ravenna) Dutilh";"accepted";"BR";"CR"
"33503";"33503";"Hippeastrum morelianum";"AMARYLLIDACEAE";"species";"Lem.";"accepted";"BR";"VU"
"4364";"4364";"Hippeastrum papilio";"AMARYLLIDACEAE";"species";"(Ravenna) Van Scheepen";"accepted";"BR";"CR"
"4365";"4365";"Hippeastrum psittacinum";"AMARYLLIDACEAE";"species";"Herb.";"accepted";"BR";"EN"
