"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Lauraceae";"Aniba rosaeodora";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";NA;NA;NA
"Apocynaceae";"Aspidosperma album";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma album";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma desmanthum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma desmanthum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma desmanthum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma desmanthum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosperma desmanthum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Apocynaceae";"Aspidosper masandwithianum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";NA;NA;NA
"Compositae";"Aspilia paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Compositae";"Aspilia paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
