"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Poaceae";"Dichanthelium cabrerae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Peixotoa megalantha";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Peltogyne chrysopis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pseudabutilon pintoi";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gentianaceae";"Schultesia piresiana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Apostolepis arenarius";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rubiaceae";"Mitracarpus rigidifolius";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Hohenbergia correia-araujoi";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Calophyllaceae";"Kielmeyera itacarensis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Eriope confusa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Turneraceae";"Turnera caatingana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bulimulidae";"Auris melanostoma";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rutaceae";"Conchocarpus racemosus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Eugenia itacarensis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Stigmaphyllon hispidum";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Flaematopus palliatus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Arecaceae";"Bactris soeiroana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Felidae";"Puma yagouaroundi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Verbenaceae";"Stachytarpheta froesii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Chamaecrista catolesensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Echimyidae";"Callistomys pictus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stylotrichium sucrei";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stylotrichium glomeratum";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Tityridae";"Laniisoma elegans";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Scarabaeidae";"Oxysternon (Pteroxysternon) pteroderum";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Parianella lanceolata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stenophalium eriodes";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Araceae";"Anthurium talmonii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Cryptanthus ruthiae";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia pendula";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Alexandresaurus camacan";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pavonia spiciformis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pseudobombax calcicola";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Diplopterys bahiana";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Eriope montana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Euphorbiaceae";"Algernonia bahiensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Aechmea andersoniana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Hohenbergia brachycephala";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Plinia rara";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
